__label__社会 , 日本 で 最も 面積 が 大きい 市 は ○ ○ 市 ？ ○ の 漢字 を ひ ら が なで 答え なさい た か や ま 
__label__社会 , 次 の うち 、 日本 に 実際 に ある 私立 大学 は どれ ？ 城北 大学 城南 大学 城西大学 城東 大学 
__label__社会 , 長野 県 に ある 仁科 三 湖 の うち 面積 が 最も 大きい の は 青木 湖 で ある 
__label__社会 , 次 の 地方自治体 法 に 持つ 付く 都市 区分 と 、 それ に 指定 さ れ て いる 愛知 県 の 都市 の 正しい 組み合わせ を 選び なさい 政令 指定 都市 特例 市 中核 市 特例 市 名古屋 市 豊橋 市 
__label__社会 , 中東 の 国 ヨルダン の 首都 は アンマン で ある 
__label__社会 , グリコ ・ 森永 事件 、 アキノ 氏 暗殺 事件 など の 事件 で 音声 分析 を 担当 し た 、 イグノーベル 賞 も 受賞 し て いる 日本 音響 研究所 所長 は ？ 鈴木 松美 
__label__社会 , 次 の 観光 名所 を 国 ごと に グループ 分け し なさい アメリカ イギリス ドイツ タイ ムズスクウェア ブランデンブルク 門 大 英 博物館 リンカーン ・ センター ゴールデンゲートブリッジ 
__label__社会 , 日本 で 最も 東 に ある 島 は ○ ○ 島 ？ ○ の 漢字 を ひ ら が なで 答え なさい みなみ とり 
__label__社会 , 「 ルシード 」 「 ギャツビー 」 など の 商品 で 知ら れる マンダム は アメリカ の 化粧 品 メーカー で ある 
__label__社会 , 三角形 の 国旗 を 持つ 国 が ある 
__label__社会 , 1991 年 の 湾岸 戦争 の きっかけ と なっ た の は 、 イラク が どこ の 国 に 進行 し た から ？ カタカナ で 答え なさい クウェート 
__label__社会 , カリブ海 の 島国 ・ ドミニカ 国 と ドミニカ共和国 で 国土 面積 が 大きい の は ドミニカ 国 で ある 
__label__社会 , 天皇 が 旅行 を する こと を 漢字 二 文字 で 行幸 と いい ます が 皇后 が 旅行 を する こと を 漢字 二 文字 で 何 という ？ 行幸 行啓 行 開 行明 
__label__社会 , 軍隊 の 「 陸軍 」 の こと を 英語 で 「 ARMY 」 と いい ます が 「 海軍 」 は 英語 で 何 という ？ NAVY 
__label__社会 , 東京 スカイ ツリー が 日替わり で 行う 2 種類 の 夜間 ライトアップ の うち 、 紫色 を 主体 と する の は 美意識 を 示す 「 雅 」 で ある 
__label__社会 , 日本銀行 の 出資 金 は 全て 日本 政府 が 出し て いる 
__label__社会 , 次 の 日本 の 運転 免許 証 と 、 普通 それ を 取得 できる よう に なる 年齢 の 正しい 組み合わせ を 選び なさい 中型 免許 普通 免許 普通 二 輪 免許 18 歳 16 歳 20 歳 
__label__社会 , 次 の 観光 名所 を それ が ある 都道府県 ごと に グループ 分け し なさい 静岡 県 愛知 県 山梨 県 伊良湖岬 信玄 堤 猿橋 お宮 の 松 
__label__社会 , 徳川 将軍家 の 菩提寺 として 有名 な 上野 の 寛永寺 は 天台宗 の お寺 で ある 
__label__社会 , 次 の 東京 の 施設 と 設計 者 の 正しい 組み合わせ を 選び なさい 東京 タワー テレビ朝日 本社 ビル 東京 都庁 丹下 健三 槇 文彦 内藤 多 仲 
__label__社会 , ノーベル 賞 の 受賞 者 に 与え られる メダル は 6 部門 とも 同じ デザイン で ある 
__label__社会 , 次 の 東アジア の 国 の その 最高峰 の 正しい 組み合わせ を 選び なさい モンゴル 日本 中国 フィティン 峰 エベレスト 富士山 
__label__社会 , 日本 で は 、 現行 犯 を 除い て 逮捕 は 警察官 しか でき ない 
__label__社会 , 観光 客 が 多く 訪れる 由布院 温泉 が ある の は 大分 県 ○ ○ 市 ？ ○ を 答え なさい ゆ ふ 
__label__社会 , 次 の 災害 の 際 に 地方自治体 から 発令 さ れる 非難 情報 を 拘束 力 が 強い もの から 順に 選び なさい 避難 指示 避難 勧告 避難 準備 情報 
__label__社会 , 次 の うち 、 人口 ピラミッド の タイプ に ある もの を 全て 選び なさい 放射 型 お鉢 型 釣り鐘 型 
__label__社会 , 2013 年 10 月 に 鳥取 県議会 で 成立 し た の は 、 視覚 障害 者 の 暮らし やすい 環境 づくり を 目指す 「 点字 言語 条例 」 で ある 
__label__社会 , 全日本空輸 の 2 レター コード 「 NH 」 の 「 H 」 と は 「 ヘリコプター 」 を 指し て いる 
__label__社会 , ラルデレロ ワイラケイ 葛 根田 八丁原 太陽熱 発電 原子力 発電 地熱 発電 風力 発電 
__label__社会 , 海外 へ の 玄関 口 に なっ て いる 日本 の 中部 国際 空港 の 愛称 は ○○○○○？○ を 答え なさい セントレア 
__label__社会 , 2006 年 から 2012 年 にかけて 第 五 共和 政 下 の フランス で 第 6 代 大統領 を 務め た 政治 家 は ニコラ ・ ○ ○ ○ ○ ？ サルコジ 
__label__社会 , 英語 で は 「 ショットガン 」 と 呼ば れる 銃器 です 散弾 銃 
__label__社会 , 4 人 の 大統領 の 巨大 な 彫像 が 並ぶ アメリカ の 国立 記念 公園 ・ ラシュモア 山 が ある の は サウスダコタ 州 で ある 
__label__社会 , 1984 年 に 人間 国宝 の 指定 を 受け た 、 日本 の 工芸 家 です 中 臺瑞 真 
__label__社会 , 『 行列 の できる 法律 相談 所 』 で おなじみ の 丸山 弁護士 は 自民党 の 参議院 議員 で ある 
__label__社会 , 富士山 の 山頂 は 行政 上 の 区分 で は 山梨 県 に 所属 する 
__label__社会 , 日本 の 終戦 記念 日 は 8 月 何 日 ？ 数字 で 答え なさい 15 
__label__社会 , バチカン 市 国 の 近衛 兵 の 服 を デザイン し た 人物 は レオナルド ・ ダ・ビンチ で ある 
__label__社会 , 世界 の 空港 で ヒースロー 空港 が ある 都市 は ロンドン です が シャルル・ドゴール 空港 が ある 都市 は どこ ？ カタカナ で 答え なさい パリ 
__label__社会 , [ 画像 問 ] これ は どこ の 国 の 国旗 ？ （ 上 から 青白 青 、 白 の ところ に 5 つ の 星 ） ホンジュラス 
__label__社会 , 急激 な 為替 変動 が 発生 し た 際 に 自国 通貨 を 相手 国 通貨 を 交換 する こと で 金融 危機 を 防ぐ 取り決め は ○ ○ ○ ○ 協定 ？ スワップ 
__label__社会 , 2012 年 に ノーベル 平和 賞 を 受賞 し た の は 欧州 連合 で ある 
__label__社会 , 地方 から 都会 へ 出 て き た 人 が 出身 地 で 就職 する こと を U ターン と いい ます が 都会 の 人 が 地方 で 就職 する こと を ○ ターン という ？ ○ を 答え なさい I 
__label__社会 , 「 IT 企業 」 など という とき の 「 I 」 は 「 インターナショナル 」 の 略 で ある 
__label__社会 , JAL も 加盟 し て いる 世界 規模 の 航空 連合 の 1 つ ワン ワールド 
__label__社会 , 2012 年 に 、 お 台場 に オープン し た テーマパーク は 「 ○ ○ ○ ○ ○ ・ ディスカバリー ・ センター 東京 」 ？ ○ を 答え なさい レゴランド 
__label__社会 , 現在 発行 さ れ て いる 100 円 硬貨 の 側面 に ある ギザギザ の 数 は 全部 で ○ ○ ○ 個 ？ ○ を 答え なさい 103 
__label__社会 , 標高 2455 m 長野 県 と 岐阜 県 の 県境 南峰 は 立入禁止 別名 は 硫黄 岳 焼岳 槍ヶ岳 剱岳 穂 髙岳 
__label__社会 , 石原 慎太郎 の 主導 により 誕生 し 2005 年 ４月 に 開業 し た 中小 企業 向け 融資 に 重点 を 置い た 活動 を 行っ て いる 銀行 は ？ 新 銀行 東京 
__label__社会 , 海外 旅行 を する 際 に 必要 な もの で 正式 名称 を 「 旅券 」 という の は ○ ○ ポート ？ ○ を 答え なさい パス 
__label__社会 , フランス ・ パリ の 観光 名所 で ある エトワール 凱旋 門 の 下 に は 建設 を 命じ た ナポレオン 1 世 が 埋葬 さ れ て いる 
__label__社会 , 日本 で 政党 として 認め られる の は 「 政治 団体 の うち 、 所属 する 国会 議員 を ○ 人 以上 有する もの 」 ？ ○ を 答え なさい 5 
__label__社会 , 「 京 」 という 漢字 が つく 京都 府 の 都市 は 、 京都 市 、 長岡京 市 、 京田辺 市 と ○ ○ ○ 市 ？ ○ の 漢字 を ひ ら が なで 答え なさい き ょうたんご 
__label__社会 , ラテン語 で 「 鍵 が かかる 部屋 」 の 意味 が ある 、 ローマ 教皇 選挙 会 コンクラーベ 
__label__社会 , 1988 年 に 開通 し た 、 青森 県 と 北海道 を 結ぶ 鉄道 トンネル は 「 ○ ○ トンネル 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい せい か ん 
__label__社会 , 次 の 文字 列 を 順に 選ん で 英語 の 検定 試験 の 名前 に し なさい English as Test of Language a Foreign 
__label__社会 , ヨーロッパ の 国 アイスランド の 通貨 単位 は アイスランド ・ クローネ で ある 
__label__社会 , 「 音楽 の 都 」 として 知ら れる オーストリア の 首都 は ？ ウィーン 
__label__社会 , 建物 自体 が 傾い て いる こと で 有名 な 、 イタリア を 代表 する 観光 名所 と いえ ば 「 ピザ の 斜 塔 」 で ある 
__label__社会 , 2012 年 7 月 に 、 小沢 一郎 を 代表 として 結成 さ れ た 政党 は 「 国民 の 生活 が ○○？」○ の 漢字 を ひ ら が なで 答え なさい だいいち 
__label__社会 , 1838 年 に 天理教 を 創始 し た 女性 は ○ ○ みき ？ ○ の 苗字 を ひ ら が なで 答え なさい なか や ま 
__label__社会 , フランス ・ パリ の 観光 名所 で ある エッフェル塔 を 設計 し た の は その 名 の とおり 建築 技師 の エッフェル で ある 
__label__社会 , 長野 新幹線 を 走る 特急 列車 の 愛称 は ？ ( 3 文字 ) あさま 
__label__社会 , [ 画像 問 ] 次 の 狛犬 の うち 「 阿吽 （ あ うん ） 」 の 吽 形 で ある の は どっち ？ （ A . 向かっ て 右側 を 向い て 口 を 開け て いる | B . 向かっ て 左側 を 向い て 口 を 閉じ て いる ） 
__label__社会 , 次 の 国 を 通貨 単位 ユーロ を 導入 し て いる か 否 か で グループ 分け し なさい 導入 し て いる 導入 し て ない 【 2 】 ブラジル 日本 オーストラリア アメリカ フランス ドイツ 
__label__社会 , フランス が 初めて 核 実験 を おこなっ た 場所 は タクラマカン 砂漠 で ある 
__label__社会 , 高知 県 の 県 の 木 に 指定 さ れ て いる 杉 の 一 種 です 魚梁瀬 杉 
__label__社会 , 「 狙撃 手 」 の こと を 英語 で 何 という ？ スナイパー 
__label__社会 , アニメ 映画 『 借り ぐらし の アリエッティ 』 に 登場 する 庭園 や 屋敷 の モデル と なっ た 名勝 ・ 成美 園 が ある 青森 県 の 都市 は ？ 十和田 市 八戸 市 平川 市 むつ 市 
__label__社会 , 2007 年 に ノーベル 平和 賞 を 受賞 し た 、 クリントン 政権 で 副 大統領 を 務め た アメリカ の 政治 家 は アル ・ ○○？○ を 答え なさい ゴア 
__label__社会 , ムー 大陸 の 存在 を 主張 し た 本 『 失わ れ た ムー 大陸 』 の 著者 は ジェームズ・チャーチウォード で ある 
__label__社会 , 愛知 県 で 現在 、 路面 電車 が 走っ て いる 唯一 の 都市 は 豊川 市 で ある 
__label__社会 , 2012 年 4 月 に 、 元 首相 の 鳩山 由紀夫 が 政府 の 中止 要請 を 振り切っ て 訪問 し た 国 は イラク で ある 
__label__社会 , 世界 に は 、 サンタクロース を 養成 する ため の 学校 が 存在 する 
__label__社会 , 日本 の 仏教 の 宗派 で 浄土宗 の 開祖 は 法然 です が 浄土真宗 の 開祖 は ○ ○ ？ ○ の 漢字 を ひ ら が なで 答え なさい しん らん 
__label__社会 , 日本 の 在来 線 で 最も 速い 最高 速度 160 km / h で 運転 し て いる JR 西日本 と 北越 急行 の 特急 列車 は ○○○○？○ を 答え なさい はく た か 
__label__社会 , 部品 を 輸出 し て 現地 で 組み立てる 方法 は ○ ○ ○ ○ ○ ○ 輸出 ？ ノックダウン 
__label__社会 , 日本国 憲法 は 施行 後 一 度 も 改正 さ れ て い ない 
__label__社会 , グアム 島 に ある 有名 な 観光 名所 は 「 変人 岬 」 で ある 
__label__社会 , 次 の うち 、 東京 駅 が ある 鉄道 会社 を 全て 選び なさい JR 東日本 東急 電鉄 都営 地下鉄 東京 メトロ 
__label__社会 , JR の 山手 線 に は 踏切 は 1 つも ない 
__label__社会 , 次 の 経済 学者 と その 出身 国 の 正しい 組み合わせ を 選び なさい J ・ S ・ ミル ポール ・ サミュエルソン グンナー・ミュルダール イギリス スウェーデン アメリカ 
__label__社会 , 国際 教養 学部 外国 語 学部 総合 人間 科学 部 神学 部 早稲田大学 法政大学 慶應義塾 大学 上智大学 
__label__社会 , 選挙 運動 において 、 票 固め の ため 活用 さ れる 業界 団体 など を 揶揄 し た 言葉 は 「 ○ ○ マシン 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい しゅう ひょう 
__label__社会 , 国連大学 が 提唱 し た 全て の 廃棄 物 が 資源 として 再 活用 さ れる こと を めざそ う と する 構想 を 何 という ？ ゼロ ・ エミッション 
__label__社会 , 当て字 で 「 愛 斯蘭 」 と 表さ れる 国 は アイスランド で ある 
__label__社会 , 国債 など の 借金 を 除い た 歳入 と 借金 の 償還 費 を 除く 歳出 と の 差 で ある 、 国 など の 財政 状況 を 示す 指標 は ○ ○ ○ ○ ○ ○ バランス ？ プライマリー 
__label__社会 , 警察 の 用語 で 「 犯人 」 の こと を 「 ツキ 」 という 
__label__社会 , 2012 年 5 月 の 「 第 6 回 太平洋 ・ 島 サミット 」 で 採択 さ れ た 首脳 宣言 は 「 沖縄 ○ ○ ○ 宣言 」 ？ ○ を 答え なさい キズ ナ 
__label__社会 , 次 の 出来事 を 起き た 順 に 選び なさい 鹿児島 の 五つ 子 誕生 ベルリン の 壁 崩壊 インベーダーゲーム 登場 
__label__社会 , 大正 島 北小 島 久場 島 魚釣島 尖閣諸島 芸予諸島 南西諸島 幅 米 群島 
__label__社会 , 茨城 県 に ある 「 日本 三 名園 」 の ひとつ 偕楽 園 
__label__社会 , 公職 選挙 法 に よる と 国政 選挙 や 地方 選挙 の 当日 に 20 歳 の 誕生 日 を 迎え た 人 も 投票 を する こと が 可能 で ある 
__label__社会 , 山形 県 の 「 県 の 木 」 は ？ ヤマモモ サクランボ シラカバ クリ 
__label__社会 , 2011 年 に 静岡 県 に オープン し た 世界 各地 の 深海 生物 を 展示 する 水族館 は 「 ○ ○ ○ 深海 水族館 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい 沼津 港 
__label__社会 , 車体 と の 間 の 鉄 の 梁 を なくし 二つ の 空気 バネ で 直接 つない で 軽量 化 を 図っ た 、 鉄道 車両 の 台車 の 総称 は ○ ○ ○ ○ ○ ○ 台車 ？ ボルスタレス 
__label__社会 , 次 の 各 都道府県 の 警察 と マスコットキャラクター の 正しい 組み合わせ を 選び なさい 群馬 県 警察 長野 県 警察 千葉 県 警察 シーポック ライ ポ くん 上 州 くん 
__label__社会 , 遊園 地 の ジェット コースター は ジェット エンジン の 力 で 走る 
__label__社会 , かつて 、 新幹線 に 寝 台車 を 導入 する 計画 が あっ た 
__label__社会 , 四国 八 十 八 箇所 霊場 の 第 一番 札所 ・ 霊 山寺 が ある 都道府県 は ？ 高知 県 徳島 県 愛媛 県 香川 県 
__label__社会 , 湖東 町 永源寺 町 五個荘 市 2005 年 に 新設 合併 で 誕生 甲賀 市 高島 市 丹波 市 東 近江 市 
__label__社会 , 15 体 の モアイ 像 が 並び立っ て いる 「 王 の 港 」 という 意味 が ある イースター 島 の 名所 は ？ アフ・トンガリキ 
__label__社会 , イラク という 国名 は 「 低地 」 を 意味 する 
__label__社会 , 次 の 風 が 吹く 地域 を 東 から 順に 選び なさい 伊 吹おろし 清川 だし 六 甲 おろし 
__label__社会 , その 国土 は アラビア 半島 の 南東 部 を 占める 、 首都 を マスカット に 置く 中東 の 国 は オマーン です が その 国土 は アラビア 半島 の 東部 に 位置 する 、 首都 を ドーハ に 置く 中東 の 国 は ？ カタール 
__label__社会 , 成田空港 の 正式 名称 は 「 成田 国際 空港 」 で ある 
__label__社会 , 日本 の 都道府県 で 、 宮古島 市 が ある の は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい おき な わけ ん 
__label__社会 , モンテビデオ を 首都 と する 南 アメリカ の 国 は ？ ( 5 文字 ) ウルグアイ 
__label__社会 , 次 の 都市 を 国 ごと に グループ 分け し なさい フランス オーストラリア ブリスベン アデレード アミ アン オルレアン 
__label__社会 , 那覇 市 を 走る 「 ゆい レール 」 で 唯一 の ひら が な 表記 の 駅 は ○ ○ ○ ○ ○ 駅 ？ ○ を 答え なさい お もろ まち 
__label__社会 , ヨーロッパ の 国 ハンガリー の 通貨 単位 です フォリント 
__label__社会 , 南米 の 国 コロンビア は 探検 家 コロンブス に ちなん で 命名 さ れ た 
__label__社会 , 2012 年 9 月 に 、 上野公園 の 西郷 会館 跡地 に オープン し た 複合 商業 施設 は ？ UENO 3153 
__label__社会 , ザンビア は アフリカ 大陸 に ある 国 で ある 
__label__社会 , 日本 は 国際 連合 の 原 加盟 国 で ある 
__label__社会 , 2005 年 に 釧路 市 動物 園 に 婿 入り し た ものの 、 2008 年 に 「 実は メス だっ た 」 と 判明 し 人気 者 と なっ た ホッキョクグマ の 名前 は ？ ( 3 文字 ) ツヨ シ 
__label__社会 , 「 仁科 三 湖 」 と 呼ば れる 長野 県 の 湖 を 1 つ 答え なさい あおき こ なかつ なこ き ざきこ 
__label__社会 , 政府 や 公的 機関 同士 で 、 国際 的 に 長期 資金 を 貸し借り する こと です 借款 
__label__社会 , 四国 で 最も 長い 川 は 吉野川 で ある 
__label__社会 , 次 の うち 駅長 が 2 人 いる JR の 駅 を 全て 選び なさい 新大阪 駅 広島 駅 小田原 駅 
__label__社会 , キラウエア 火山 が ある ハワイ 州 の 島 は オアフ 島 で ある 
__label__社会 , 日本 の 国会 で 、 女性 初 の 衆議院 議長 を 務め た 政治 家 は ？ フルネーム で 答え なさい どい た かこ 
__label__社会 , 次 の 国税 を 五十音 順 に 選び なさい 印紙 税 所得 税 石油 石炭 税 
__label__社会 , 小泉 内閣 で 少子 化 ・ 男女 共同 参画 担当 大臣 を 務め まし た 猪口 邦子 
__label__社会 , ロマンチック 街道 の ハイライト は ○ ○ ○ ○ ○ ○ シュタイン 城 ？ ノイシュバン 
__label__社会 , 1996 年 に 世界 遺産 に 登録 さ れ た 厳島 神社 の 鳥居 は 海底 で 地面 に 固定 さ れ て いる 
__label__社会 , 1979 年 に 日本 初 の カプセル ホテル を 設計 し た 建築 家 は 黒川 紀章 で ある 
__label__社会 , 京都 を 代表 する 祭り の 一つ 「 祇園祭 」 が 行わ れる の は 毎年 10 月 で ある 
__label__社会 , [ 画像 問 ] 電子 マネー 「 WAON 」 の イメージ キャラクター と なっ て いる 動物 は どっち ？ （ A . イヌ | B . キリン ） 
__label__社会 , 北海道大学 の キャンパス が ある 都市 を 1 つ 答え なさい さ っぽ ろ は こ だ て 
__label__社会 , 東北 地方 で 導入 さ れ て いる ご 当地 ナンバー を 1 つ 答え なさい あ いづ せんだい 
__label__社会 , 次 の うち 多く の 観光 客 が 訪れる アメリカ合衆国 の 都市 を 全て 選び なさい アカプルコ リマ ニューヨーク 
__label__社会 , 根上 グリーン ビーチ そわ じ 浦 海水浴 場 塩屋 海水浴 場 千里浜 海水浴 場 秋田 県 鹿児島 県 石川 県 鳥取 県 
__label__社会 , アフリカ 大陸 で もっとも 南 に ある 国 は その 名 の 通り 南アフリカ 共和 国 で ある 
__label__社会 , 和歌山 県 串本 町 の 木場 神社 で 毎年 12 月 に 行わ れる 、 子孫 繁栄 など を 願う お 祭り と いえ ば 「 ○ ○ ○ ○ 祭り 」 ？ ねんねこ 
__label__社会 , 青森 県 から 栃木 県 まで 東北 地方 を 縦断 し て 約 500 km に 渡っ て 走る 山脈 は ○ ○ 山脈 ？ ( 2 文字 ) 奥羽 
__label__社会 , 次 の 文字 を 順に 選ん で 北海道 の 村 の 名前 に し なさい 子 威 音 府 
__label__社会 , 2001 年 に 女性 として 初めて インドネシア の 大統領 に 就任 し た 政治 家 は ○ ○ ○ ○ ○ ・スカルノプトゥリ ？ ( 5 文字 ) メガワティ 
__label__社会 , 公明党 の 神崎 武法 が かつて CM で 言っ た 有名 な フレーズ そう は いかん ざき 
__label__社会 , ユダヤ 教徒 の 聖典 です タルムード 
__label__社会 , 1973 年 に 創設 さ れ た 、 宗教 分野 の ノーベル 賞 「 ○○○○○○ 賞 」 ？ テンプルトン 
__label__社会 , 細川 内閣 で 内閣 官房 長官 村山 内閣 で 大蔵 大臣 「 新党 さきがけ 」 初代 代表 愛称 は 「 ムーミンパパ 」 武村 正義 江本 孟紀 田 英夫 井出 正一 
__label__社会 , 彼ら の 投票 が 選挙 結果 を 左右 し ます 無党派 層 
__label__社会 , 2013 年 より 東海道新幹線 で 導入 さ れる 、 JR 東海 が 開発 し た 新型 車両 は 「 N ○ ○ ○ ○ 系 」 ？ ○ を 答え なさい 700 A 
__label__社会 , 日本 万国博覧会 に 設置 さ れ た 「 太陽 の 塔 」 より も 前 に 作ら れ た 岡本 太郎 の 彫刻 「 若い 太陽 の 塔 」 が ある 施設 は どこ ？ 伊豆 シャボテン 公園 日光 江戸 村 のぼり べつ クマ 牧場 日本 モンキー パーク 
__label__社会 , 次 の 国 を 国旗 に 星 が 描か れ て いる か 否 か で グループ 分け し なさい 描か れ て いる 描か れ て い ない キューバ ベトナム サウジアラビア 
__label__社会 , 創業 の 地 で ある 北陸 地方 の 都市 に その 名 を 由来 する 建設 機器 メーカー は コマツ で ある 
__label__社会 , デンマーク の 世界 遺産 クロンボー 城 を 舞台 と し た シェークスピア の 戯曲 は 『 ハムレット 』 で ある 
__label__社会 , 海底 に も 火山 が 存在 する 
__label__社会 , 次 の うち 、 3 色 から 成る 国旗 を 持つ 国 を 全て 選び なさい 日本 ロシア アルゼンチン 
__label__社会 , 吉良 温泉 笹戸 温泉 西浦 温泉 尾張 温泉 長野 県 岐阜 県 愛知 県 山梨 県 
__label__社会 , 次 の 三重 県 の 都市 を 人口 が 多い 順 に 選び なさい 津 市 四日市 市 鈴鹿 市 松坂 市 
__label__社会 , 「 国旗 及び 国歌 に関する 法律 」 が 施行 さ れ た 時 の 日本 の 首相 は 小渕 恵三 で ある 
__label__社会 , 次 の ループ 線 が 設け られ た 区間 と それ が ある JR の 路線 の 正しい 組み合わせ を 選び なさい 上落合 信号 場 ～ 新得 駅 矢岳 駅 ～ 大畑 駅 上有住 駅 ～ 陸中大橋 駅 D . 敦賀 駅 ～ 新 疋田 駅 北陸本線 肥薩線 釜石線 4 . 根室本線 
__label__社会 , 1997 年 に イギリス 皇太子 妃 ダイアナ が 事故死 し た 都市 は ロンドン で ある 
__label__社会 , 戦闘 機 同士 の 空中 戦 の こと を 「 ドッグファイト 」 という 
__label__社会 , 「 朱 泥 」 と 呼ば れる 独特 の 粘土 で 作る 急須 が 有名 な 焼き物 と いえ ば 益子 焼 で ある 
__label__社会 , 次 の 文字 列 を 順に 選ん で 世界 有数 の ケシ の 栽培 地 を 指す 言葉 に し なさい トライ ゴール アングル デン 
__label__社会 , 新聞 社 で 特定 の 担当 を 持た ず 、 緊急 時 に 取材 に 当たる 記者 の こと を 特に ○ ○ 記者 という ？ ○ の 漢字 を ひ ら が なで 答え なさい ゆう ぐん 
__label__社会 , 学位 を 表す 単語 で 、 大学院 で 2 年間 学 と 得 られる 「 修士 」 は マスター です が 論文 審査 に 合格 し 大学院 を 修了 する と 得 られる 「 博士 」 は ○○○○？○ を 答え なさい ドクター 
__label__社会 , オーストラリア の グレートバリアリーフ は 世界 最大 の サンゴ礁 で ある 
__label__社会 , 立 命 館 アジア 太平洋 大学 が 本部 を 置い て いる 九州 の 県 は どこ ？ 長崎 県 大分 県 福岡 県 熊本 県 
__label__社会 , 近年 、 その 増加 が 先進 国 で 大きな 社会 問題 と なっ て いる 働い て も 最低 水準 の 生活 から 抜け出せ ない 人々 を 何 という ？ ワーキングプア 
__label__社会 , 現在 は 多客 期 のみ 運行 さ れ て いる 東京 駅 と 大垣 駅 の 間 を 走る JR の 夜行 列車 は 「 ムーンライト ながら 」 です が 新宿 駅 と 新潟 駅 の 間 を 走る JR の 夜行 列車 は 「 ムーンライト ○○○」？○ を 答え なさい え ちご 
__label__社会 , 必要 と さ れる 期間 を 限定 し て 施行 さ れる 法律 を 「 時限 立法 」 という 
__label__社会 , かつて 、 福岡 県 に は 博多 市 が 存在 し て い た 
__label__社会 , 紙幣 に 入っ て いる 「 透かし 」 の こと を 英語 で は 「 see through 」 という 
__label__社会 , 戦前 の 日本 で 小学校 に あっ た 天皇 と 皇后 の 写真 と 教育 勅語 を 収め て い た 建物 の こと を 「 ○ ○ 殿 」 という ？ ( 2 文字 ) 奉安 
__label__社会 , 四国 八 十 八 箇所 の 巡礼 は 順番 通り に 行わ ない と 正式 に は 認め られ ない 
__label__社会 , [ 画像 問 ] 次 の うち 、 群馬 県 に ある 伊香保 温泉 は どっち ？ （ A . 内装 、 緑色 の よう な 湯気 | B . 外装 、 急 勾配 の 階段 ） 
__label__社会 , 2005 年 に ２ 本 足 で 直立 する 姿 が 話題 と なっ た 、 千葉 市 動物 公園 の レッサーパンダ の 名前 は ？ ( 2 文字 ) 風 太 
__label__社会 , [ 画像 問 ] 1864 年 の 「 蛤 御門 の 変 」 で 長州 藩 が 発砲 し た 蛤 御門 は どっち ？ （ A . 左右 に 木 の 柵 、 開門 し て いる | B . 閉門 し て いる ） 
__label__社会 , 地球 上 で 、 人口 が 第 2 位 の 国 と 面積 が 第 2 位 の 国 は 同じ で ある 
__label__社会 , 次 の 税金 を 日本 の 法律 で 実際 に ある か ない か で グループ 分け し なさい ある ない パチンコ 税 印紙 税 自動車 重量 税 不動産 所得 税 
__label__社会 , [ 画像 問 ] 夜 に 車 の ライト で 光る 、 道路 に 設置 さ れ た 、 これ の 名称 は ？ （ 乗り越え 防止 の ため の 、 黄色い 反射 板 を 備え た 突起 物 ） キャッツアイ 
__label__社会 , 世界 遺産 に なっ て いる 、 ロシア の 首都 ・ モスクワ に あり 大統領 府 など が 置か れ て いる 宮殿 は グレムリン で ある 
__label__社会 , 日本 の 有名 な 滝 で 華厳 の 滝 が ある 都道府県 は ？ 北海道 富山 県 兵庫 県 栃木 県 
__label__社会 , 「 21 世紀 臨調 」 と も 呼ば れる 、 各界 の 有識者 など 約 150 名 から なる 集まり は 「 新しい 日本 を つくる ○ ○ ○ ○ 」 ？ 国民 会議 
__label__社会 , アフリカ の 国 モロッコ の 国旗 の 中央 に デザイン さ れ て いる の は 「 ソロモン の 星 」 で ある 
__label__社会 , グアム 島 と サイパン 島 で より 北 に 位置 する の は サイパン 島 で ある 
__label__社会 , 九州 地方 の 最高峰 が ある 島 は 種子島 で ある 
__label__社会 , アメリカ合衆国 の 首都 は どこ ？ シカゴ ロサンゼルス ワシントン D . C . ボストン 
__label__社会 , JR 東日本 の 路線 盤 越 東 線 と 盤 越 西 線 の うち 電化 区間 と 非 電化 区間 が 混在 する の は 盤 越 東 線 の 方 で ある 
__label__社会 , JR 小海線 に ある 駅 で 日本 の 鉄道 で 最も 標高 が 高い 地点 に ある の は 野辺山 駅 です が 2 番目 に 標高 が 高い 地点 に ある の は ？ 野辺山 駅 松原湖 駅 清里 駅 小海 駅 
__label__社会 , 次 の ヨーロッパ の 国 と ユーロ が 導入 さ れる まで 用い られ て い た 通貨 単位 の 正しい 組み合わせ を 選び なさい ドイツ イタリア フランス リラ マルク フラン 
__label__社会 , 観光 名所 に なっ て いる 有名 な 像 で 自由 の 女神 像 が ある 北米 の 都市 は ニューヨーク です が 人魚 姫 の 像 が ある 北欧 の 都市 は ○ ○ ○ ハー ゲン ？ ○ を 答え なさい コペン 
__label__社会 , 日本 に ある 銀行 の 名前 は 全て 最後 が 「 銀行 」 という 言葉 で 終わる 
__label__社会 , 次 の うち 「 日本 」 を 「 にっぽん 」 と 読む 政党 ・ 団体 を 全て 選び なさい 日本 共産党 たちあがれ 日本 新党 日本 日本 創 新党 
