__label__社会 , エジプト と スーダン の 国境 に 位置 する 、 1970 年 の アスワンハイダム 建設 によって 誕生 し た 人工 湖 は ○ ○ ○ 湖 ？ ( 3 文字 ) ナセル 
__label__社会 , 次 の 東京 メトロ 千代田 線 の 駅 を 駅 の ナンバリング が 小さい 順 に 選び なさい 日比谷 駅 乃木坂 駅 代々木公園 駅 
__label__社会 , ラマ教 の 指導 者 で ある 歴代 の ダライ ・ ラマ が 住ん で い た ラサ に ある 宮殿 は ○ ○ ○ 宮殿 ？ ○ を 答え なさい ポ タラ 
__label__社会 , 高知 県 沖 の 太平洋 を 流れ て いる 海流 は 親潮 で ある 
__label__社会 , 日本 で は 生き て いる 人 の 顔 が お札 の 肖像 に なっ た こと は 一 度 も ない 
__label__社会 , 2014 年 に ブックオフ の 筆頭 株主 に なっ た 企業 は ヤフージャパン で ある 
__label__社会 , 山頂 に は 日本 神話 に 登場 する 天 逆 鉾 が 突き立て られ て いる 宮崎 県 と 鹿児島 県 の 県境 に ある 霧島 連峰 第 二 の 山 は ○ ○ ○ 峰 ？ ( 3 文字 ) 高 千穂 
__label__社会 , 原動機 付 自転車 を エンジン を かけ た まま 押して 歩く 場合 歩行 者 と みなさ れる 
__label__社会 , 「 三陸海岸 」 の 名前 の 由来 と なっ た 3 つ の 旧 国名 と は 陸前 ・ 陸中 ・ 陸 後 で ある 
__label__社会 , 州都 を デンバー に 置く アメリカ の 州 は ○ ○ ○ ○ 州 ？ ( 4 文字 ) コロラド 
__label__社会 , 日本 の 都道府県 を 五十音 順 と アルファベット 順 に 並べ た 時 に 共に 最初 に 来る の は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい あ いち 
__label__社会 , 1971 年 に 全米 証券 業 協会 により 開設 さ れ た ベンチャー 企業 向け の 株式 市場 は ○○○○○○？○ を 答え なさい NASDAQ 
__label__社会 , 候補 者 で は なく 政党 へ 投票 し 各 政党 の 得票 数 に 応じ て 候補 者 名簿 の 上位 から 当選 者 が 決まる 選挙 制度 を ○ ○ ○ ○ 制 という ？ 比例 代表 
__label__社会 , アメリカ ・ サンフランシスコ の 観光 名所 で ある ゴールデンゲートブリッジ は 、 金色 に 塗ら れ て いる 
__label__社会 , フランス 共和 国 の こと を 女性 に 見立て て 擬人 化 し た 表現 と いえ ば ？ ( 5 文字 ) マリアンヌ 
__label__社会 , かつて 「 デゴイチ 」 の 愛称 で 親しま れ た 国鉄 の 蒸気 機関 車 は D ○ ○ ？ ○ を 答え なさい 51 
__label__社会 , パレスサイドビル 、 ポーラ 五反田 ビル など を 手がけ た 建築 家 です 林 昌二 
__label__社会 , 通信 販売 で 購入 し た もの に クーリングオフ は 適用 さ れ ない 
__label__社会 , 湖岸 に は ジュネーブ 、 ローザンヌ など の 都市 が 位置 する 、 スイス と フランス の 国境 に またがる 中部 ヨーロッパ 最大 の 湖 は 何 ？ レマン 湖 
__label__社会 , 中央 部 に 山岳 が 連座 する ところ から き た 鹿児島 県 の 島 ・ 屋久島 の 異名 は 「 洋上 アルプス 」 で ある 
__label__社会 , 次 の 日本 の 旧 国名 を 東 から 順に 選び なさい 伊賀 豊 前 美作 
__label__社会 , 次 の 都道府県 を 市 の 数 が 多い 順 に 選び なさい 大阪 府 埼玉 県 徳島 県 
__label__社会 , 2012 年 に 旧 東京 中央 郵便 局 の 跡地 に 完成 し た 、 郵便 局 会社 が 保有 する 高層 ビル は 「 ○ ○ タワー 」 ？ ○ を 答え なさい JP 
__label__社会 , 次 の うち 、 野中 広務 が 務め た こと が ある 大臣 を 全て 選び なさい 大蔵 大臣 法務大臣 自治 大臣 
__label__社会 , ヨーロッパ 人 の 渡来 前 から 住ん で いる オーストラリア の 先住民 は ？ アボリジニ 
__label__社会 , 次 の 市 を 都道府県 ごと に グループ 分け し なさい 島根 県 広島 県 鳥取 県 呉 市 米子 市 尾道 市 松江 市 
__label__社会 , 1958 年 に 完成 し た 東京 タワー を 設計 し た 建築 家 は 内藤 多 仲 で ある 
__label__社会 , 水上 温泉 が ある の は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい ぐんま 
__label__社会 , 日本 の 国会 で 、 女性 初 の 衆議院 議長 を 務め た 政治 家 は 土井 たか子 です が 女性 初 の 参議院 議長 を 務め た 政治 家 は ○○○？○ の 漢字 を ひ ら が なで 答え なさい おお ぎちかげ 
__label__社会 , 大蔵 大臣 時代 の 1882 年 に 日本 銀行 を 設立 し た 人物 で のち に 第 4 代 ・ 第 6 代 と 2 度 にわたり 首相 を 務め た の は ？ 西園寺 公望 山縣 有朋 松方 正義 高橋 是清 
__label__社会 , 標高 8611 m と 世界 第 2 位 を 誇る 、 カラコルム 山脈 に ある 山 の 名前 は ○ 2 ？ ○ を 答え なさい K 
__label__社会 , 国土 地理 院 が 作成 し て いる 一般 の 地図 で 、 縮尺 20 万 分の 1 の もの を 「 地勢 図 」 という 
__label__社会 , アフリカ 大陸 の 国 アルジェリア の 首都 は ？ ( 4 文字 ) アルジェ 
__label__社会 , ドバイ に ある 世界一 高い ビルブルジュ・ハリファ の 高 さ は 東京 タワー の 倍 以上 ある 
__label__社会 , 『 君が代 』 は 法律 で 日本 の 国歌 と 決め られ て いる 
__label__社会 , スイス の 首都 は ジュネーブ で ある 
__label__社会 , 2005 年 の 合併 で 全体 が 1 都市 と なっ た 、 トライアスロン 大会 で 有名 な 沖縄 県 の 島 は ○ ○ 島 ？ ○ の 漢字 を ひ ら が なで 答え なさい みやこ 
__label__社会 , 日本 で 初めて 冷房 が 導入 さ れ た 電車 は 阪急電鉄 の 車両 で ある 
__label__社会 , 国際 連合 の 初代 事務 総長 は トリグブ・リー です が 第 2 代 事務 総長 は ダグ ・ ○○○○○○○？○ を 答え なさい ハマーショルド 
__label__社会 , ルバング 島 レイテ 島 ミンダナオ島 ルソン島 タイ フィリピン ベトナム マレーシア 
__label__社会 , 次 の 島 を 領有 する 国 ごと に グループ 分け し なさい フランス アメリカ プエルトリコ グアム ニューカレドニア 島 タヒチ 島 
__label__社会 , 山鹿 市 宇城 市 天草 市 阿蘇 市 愛媛 県 熊本 県 富山 県 沖縄 県 
__label__社会 , 当時 の ニクソン 大統領 が 辞任 に 追い込ま れ た 、 1970 年代 に 起き た アメリカ の 政治 スキャンダル は ○○○○○○○○ 事件 ？ ウォーター ゲート 
__label__社会 , 日本 の 都市 で 四日市 市 が ある の は 三重 県 です が 廿日市 が ある の は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい ひろしま 
__label__社会 , コンサート など が 行わ れる 東京 都 の 施設 「 中野サンプラザ 」 は 、 もちろん 中野 区 に ある 
__label__社会 , アフリカ 北部 の 国 モロッコ の 首都 は ラバト で ある 
__label__社会 , 鹿児島 県 に ある 2 つ の 半島 は 薩摩半島 と ○ ○ 半島 ？ ○ の 漢字 を ひ ら が なで 答え なさい おお すみ 
__label__社会 , 1993 年 に 世界 遺産 に 登録 さ れ た メキシコ に ある 先史 時代 の 岩 絵 群 は 「 シエラ・デ・サン・ ○○○○○○○ の 岩 絵 群 」 ？ フラン シスコ 
__label__社会 , 成田空港 の 正式 名称 は 「 新 東京 国際 空港 」 で ある 
__label__社会 , 通称 を 「 省エネ 法 」 という 日本 の 法律 は 「 エネルギー の 使用 の ○ ○ ○ に関する 法律 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい ご うり か 
__label__社会 , 日本 の 航空 会社 で 「 JAL 」 と 略さ れる の は 全日空 で ある 
__label__社会 , アブダビ 、 ドバイ など ７つ の 国 から なる アラビア 半島 の 国 は ？ アラブ 首長 国 連邦 
__label__社会 , 1981 年 に ここ で 開催 さ れ た 博覧 会 は その後 の 地方 博 ブーム の 先駆け と なっ た 、 神戸 市 中央 区 に ある 人工 島 の 名前 は ？ ポートアイランド 
__label__社会 , 2010 年 8 月 に 、 民主党 スポーツ 議員 連盟 の 会長 に 就任 し た 国会 議員 は ？ ひ ら が なで 答え なさい た に りょう こ 
__label__社会 , 宮古 上布 は 岩手 県 の 伝統 工芸 品 で ある 
__label__社会 , [ 画像 問 ] 1990 年 に 開催 さ れ た 「 国際 花 と 緑 の 博覧 会 」 の マスコット は どっち ？ （ A . 青い UFO の デザイン | B . チューリップ の デザイン ） 
__label__社会 , 日本 の 都市 で 初めて 外国 の 都市 と 姉妹 都市 の 関係 を 結ん だ の は 横浜 市 で ある 
__label__社会 , 打込み 鉄 釜 ヘルシーシェフ Wooo 白く まくん 三菱電機 富士通ゼネラル 三洋電機 日立製作所 
__label__社会 , 国会 で 政府 演説 できる の は 内閣 総理 大臣 だけ で ある 
__label__社会 , [ 画像 問 ] 次 の うち 、 かつて 日本航空 の 飛行機 の マーク の モチーフ と なっ た 鳥 は どっち ？ （ A . キジ | B . ツル ） 
__label__社会 , 1992 年 に 日本人 初 の イグノーベル 賞 を 受賞 し た 研究 者 チーム が 勤務 し て いる 会社 は 資生堂 で ある 
__label__社会 , 全 4 条 から なる 日本 の 法律 です け いは ん ざいほう 
__label__社会 , 京都 を 代表 する 祭り で 毎年 7 月 に 行わ れる の は 時代 祭 で ある 
__label__社会 , 日本 の 首相 官邸 が ある の は 兜 町 で ある 
__label__社会 , 日本 の 47 都道府県 の 全て に 鉄道 が 走っ て いる 
__label__社会 , 北 アメリカ の 国 カナダ の 首都 は オワタ で ある 
__label__社会 , トヨタ自動車 など も その 流れ を 汲ん で いる 会社 、 豊田自動織機 を 創業 し た 実業 家 は 豊田 ○ ○ ？ ○ の 名前 を ひ ら が なで 答え なさい さ きち 
__label__社会 , 日本 の 成田空港 を 表す スリー レター コード は NRT です が 大阪国際空港 を 表す スリー レター コード は ○○○？○ を 答え なさい ITM 
__label__社会 , 日本 で は 、 酒 を 飲ん で 一輪車 に 乗る と 飲酒 運転 として 処罰 さ れる 
__label__社会 , 日本 に は 「 姉妹 都市 」 だけ で なく 「 親子 都市 」 も ある 
__label__社会 , 毎年 11 月 始め に 14 台 の 曳山 が 勇壮 に 市内 を 練り歩く 祭り 「 唐津 くん ち 」 が 行わ れる 都道府県 は どこ ？ 佐賀 県 山梨 県 三重 県 北海道 
__label__社会 , 日本 の 警察 通報 用 電話 ・ 110 番 が 初めて 設置 さ れ た の は 1 月 10 日 で ある 
__label__社会 , 元号 が 昭和 から 平成 に なっ た の は 1980 年代 の こと で ある 
__label__社会 , 「 サンシャイン ・ ステート 」 という 別名 が ある アメリカ 南東 部 の 州 は ○ ○ ○ ○ 州 ？ フロリダ 
__label__社会 , アメリカ合衆国 の 首都 ワシントン D . C . の 「 C 」 は ○ ○ ○ ○ ○ の 略 ？ ○ を 答え なさい コロンビア 
__label__社会 , かつて の 社名 は 「 大阪有線放送社 」 USEN 
__label__社会 , オックスフォード大学 と ケンブリッジ 大学 で ダーク ブルー が シンボル 色 な の は ケンブリッジ大学 の 方 で ある 
__label__社会 , 土木 機械 の 一 種 です パワーショベル 
__label__社会 , 飛行機 の 「 出発 時刻 」 は 、 車輪 が 陸 を 離れ た とき の こと で ある 
__label__社会 , 現在 、 日本 で 唯一 アプト 式 鉄道 が 走っ て いる 鉄道 は ○ ○ ○ 鉄道 ？ ○ の 漢字 を ひ ら が なで 答え なさい おおい が わ 
__label__社会 , 愛媛 県 の 「 県 の 花 」 に 制定 さ れ て いる の は 「 ミカン の 花 」 です が 山口 県 の 「 県 の 花 」 に 制定 さ れ て いる の は 「 ○ ○ ミカン の 花 」 ？ ○ を 答え なさい ナツ 
__label__社会 , ベルギー の 都市 に その 名 を 由来 する 、 温泉 や それ を 中心 と し た 保養 施設 の 総称 は ○ ○ ？ ○ を 答え なさい スパ 
__label__社会 , 1963 年 に 調印 さ れ た 部分 的 核 実験 禁止 条約 で は 地下 の 核 実験 も 禁止 し て いる 
__label__社会 , 次 の 日本 の 建築 家 と 入学 し た 大学 の 正しい 組み合わせ を 選び なさい 黒川 紀章 安藤 忠雄 丹下 健三 大阪工業大学 京都 大学 東京大学 
__label__社会 , 「 奈良 の 大仏 」 に も 「 鎌倉 の 大仏 」 に も ヒゲ が ある 
__label__社会 , グアム 島 に ある 有名 な 観光 名所 は 「 恋人 岬 」 で ある 
__label__社会 , 2012 年 8 月 に 就航 を 開始 し た 日本 の 格安 航空 会社 は 「 ○ ○ アジア ・ ジャパン 」 ？ ○ を 答え なさい エア 
__label__社会 , 「 白魔 術 」 と 「 黒 魔術 」 。 悪霊 の 助け を 借り て 行う の は 「 黒 魔術 」 で ある 
__label__社会 , 日本 の 「 歩行 者 専用 道路 」 の 交通 標識 に 描か れ て いる 人 の 数 は 2 人 で ある 
__label__社会 , 世界 自然 遺産 に も 登録 さ れ て いる 鹿児島 県 に ある 島 は ○ ○ 島 ？ ○ の 漢字 を ひ ら が なで 答え なさい やく 
__label__社会 , 2012 年 9 月 に 「 2013 年 以降 に 予定 し て い た 共通 通貨 ・ ユーロ の 導入 を 、 無 期限 で 凍結 する 」 と 発表 し た 国 は ？ チェコ ポーランド ハンガリー ブルガリア 
__label__社会 , 日本 の 選挙 における 候補 者 の ポスター の 形 は 円 や 三角形 で も 問題 ない 
__label__社会 , 次 の ご 当地 ナンバー を 導入 し て いる 都道府県 ごと に グループ 分け し なさい 静岡 県 茨城 県 伊豆 つくば 富士山 
__label__社会 , 日本 の 首都 ・ 東京 と 韓国 の 首都 ・ ソウル 北 に ある の は 東京 で ある 
__label__社会 , ペルー の 世界 遺産 マチュピチュ は アステカ 帝国 の 遺跡 で ある 
__label__社会 , 地図 の 図法 に 名 を 残す 人物 で ボンヌ は どこ の 国 の 人 ？ フランス ドイツ アメリカ ロシア 
__label__社会 , [ 画像 問 ] 京都 の 下鴨神社 の 境内 に ある この 原生 林 は 「 何 の 森 」 ？ （ 世界 文化 遺産 ） ただす ただす の も り 
__label__社会 , 210 m という 横 幅 を 持ち 「 東洋 の ナイアガラ 」 と も 呼ば れる 滝 は 鹿児島 県 伊佐 市 の 「 ○ ○ の 滝 ？ 」 ○ を 答え なさい そぎ 
__label__社会 , 次 の うち 、 1970 年代 に 日本 の TV 番組 に 出演 し た ユリ ・ ゲラー が 行っ た パフォーマンス を 全て 選び なさい 止まっ て い た 時計 を 動かす スプーン を 曲げる 水 の 上 を 歩く 
__label__社会 , 次 の JR グループ の 企業 の うち 日本 政府 が 100 % 出資 し て いる もの を 全て 選び なさい JR 北海道 JR 九州 JR 四国 JR 貨物 
__label__社会 , 1997 年 登録 の 、 オーストラリア の 世界 遺産 は ○ ○ ○ ○ ○ ○ 島 ？ マッコーリー 
__label__社会 , 京都 を 代表 する 祭り の 一つ 「 祇園祭 」 が 行わ れる の は 毎年 7 月 で ある 
__label__社会 , アメリカ合衆国 で 一 人 の 人物 が 大統領 職 を 務める こと が できる の は 最長 で 8 年 で ある 
__label__社会 , 茨城 県 の 県庁 所在地 は ○ ○ 市 ？ ( 2 文字 ) 水戸 
__label__社会 , 次 の 文字 列 を 順に 選ん で 「 独占 禁止 法 」 の 正式 名称 に し なさい 禁止 及び 公正 取引 の 私的 独占 の 確保 に関する 法律 
__label__社会 , 1000 万 円 の 領収 書 に 貼る の は 何 円 の 収入 印紙 ？ 数字 で 答え なさい 2000 
__label__社会 , 漢字 で は 「 独逸 」 と 書く ヨーロッパ の 国 は どこ ？ イタリア イギリス スペイン ドイツ 
__label__社会 , 標高 2037 m の ミッチェル 山 を 最高峰 と する 、 アメリカ 東部 に 走る 山脈 は ○ ○ ○ チア 山脈 ？ ○ を 答え なさい アパラ 
__label__社会 , 仙台 空港 が ある 宮城 県 の 都市 は 栗原 市 で ある 
__label__社会 , かつて 日本 の 覆面 パトカー に ベンツ が 採用 さ れ た こと が ある 
__label__社会 , 次 の アメリカ合衆国 憲法 の 修正 事項 の 内容 を 条 数 が 小さい 順 に 選び なさい 人民 の 武装 権 残虐 で 異常 な 刑罰 の 禁止 所得 税源 泉 徴収 
__label__社会 , ユーラシア 大陸 と スカンジナビア 半島 に 囲ま れ た 海 は ○ ○ ○ 海 ？ ○ を 答え なさい バルト 
__label__社会 , 2004 年 、 日本 の 企業 として 初めて 純 利益 1 兆 円 を 達成 し た の は 日産自動車 で ある 
__label__社会 , CNN や コカコーラ の 本社 が ある 、 アメリカ ・ ジョージア 州 の 都市 は ？ アトランタ 
__label__社会 , [ 画像 問 ] 陸上 自衛隊 に 配備 さ れ て いる 90 式 戦車 は どっち ？ （ A . キャタピラ の 上 半分 が 覆わ れ て いる | B . キャタピラ が 剥き出し ） 
__label__社会 , 群馬 県 の 県庁 所在地 は ○ ○ 市 ？ ( 2 文字 ) 前橋 
__label__社会 , 最上川 の 下流 に 広がる の は 庄内平野 です が 岩木川 の 下流 に 広がる の は ○ ○ 平野 ？ ○ の 漢字 を ひ ら が なで 答え なさい つ がる 
__label__社会 , 少年 法 第 3 条 に 基づき 、 14 歳 未満 で 刑罰 法令 に 触れる 行為 を し た 少年 を 「 ○ ○ 少年 」 という ？ ○ の 漢字 を ひ ら が なで 答え なさい しょく ほう 
__label__社会 , 傾斜 し た 土地 に 積もっ た 雪 が 固まっ て 氷 に なり 、 重力 により ゆっくり 動い て いく 地形 は ○ ○ ？ ○ の 漢字 を ひ ら が なで 答え なさい ひょう が 
__label__社会 , フランス の 国旗 の 通称 は 「 トリ コロール 」 です が イギリス の 国旗 の 通称 は 「 ○ ○ ○ ○ ジャック 」 ？ ○ を 答え なさい ユニオン 
__label__社会 , 日本 山岳 ガイド 協会 の 会長 を 現在 務め て いる 政治 家 は 谷垣 禎一 で ある 
__label__社会 , 2012 年度 の 国家 公務員 採用 試験 より 、 従来 の 国家 I 種 試験 は 「 ○ ○ 職 試験 」 に 改め られ た ？ ○ の 漢字 を ひ ら が なで 答え なさい そう ご う 
__label__社会 , 次 の 北海道 の 山 を 標高 が 高い 順 に 選び なさい 十勝 岳 石狩岳 雄阿寒岳 
__label__社会 , 次 の うち 、 現在 営業 さ れ て いる 新幹線 を 全て 選び なさい 山陽新幹線 東海道新幹線 山陰 新幹線 
__label__社会 , 次 の 文字 列 を 順に 選ん で マレーシア の クアラルンプール に ある 高層 ビル の 名前 に し なさい タワー ツイン ナス ペ トロ 
__label__社会 , 2013 年 に イギリス の 出版 社 「 ペンギン ・ ブックス 」 と 合併 する こと が 発表 さ れ た アメリカ の 大手 出版 社 は ？ ランダム ハウス 
__label__社会 , 政治 家 が 民家 を 一 軒 一 軒 まわり 支持 を 訴える 選挙 活動 を 特に 「 ○ ○ 板 選挙 」 という ？ ○ を 答え なさい ど ぶ 
__label__社会 , 2000 年 に 開業 し た 日本 発 の インターネット 専門 の 銀行 は ジャパン ○ ○ ○ 銀行 ？ ○ を 答え なさい ネット 
__label__社会 , そこ を 始発駅 と する 列車 が 全て 上り 列車 で ある という JR の 駅 が 存在 する 
__label__社会 , 水運 が 発達 し て い た こと に ちなむ タイ の 首都 ・ バンコク の かつて の 別名 は 「 ○ ○ の ベニス 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい とう よう 
__label__社会 , 『 いい 湯 だ な 』 の 1 番 の 歌詞 アイヌ 語 で 「 色 の 濃い 川 」 熊 牧場 、 地獄谷 支笏 洞爺 国立 公園 登別温泉 別府 温泉 白浜 温泉 草津 温泉 
__label__社会 , [ 画像 問 ] 瀬戸内海 に ある この 島 は ？ （ 画面 中央 の 中 で は 一番 大きい 島 （ 大三島 ） の すぐ 右 に ある 小さい 島 ） 小豆島 伯方 島 厳島 因島 
__label__社会 , 次 の 日本 の 大学 の うち 私立 大学 で ある もの を 全て 選び なさい 浦和 大学 鳥取大学 千葉大学 
__label__社会 , [ 画像 問 ] 次 の うち マレーシア の 国旗 は どっち ？ （ A . 左上 に 白い 星 | B . 左上 に 黄色い 月 と 太陽 ） 
__label__社会 , 鉄道 の 駅 で 見 られる 設備 です 自動 改札 機 
__label__社会 , 20 世紀 が 始まっ た とき の 日本 の 総理 大臣 は ○○○○？○ の 漢字 を ひ ら が なで 答え なさい いとう ひろ ぶ み 
__label__社会 , 1921 年 に A ・ ワトキンス が 提唱 し た 、 複数 の 古代 遺跡 が 直線 で 結ば れる という 概念 は レイ ライン で ある 
__label__社会 , 次 の 中国 地方 の 県 と その 最高峰 の 正しい 組み合わせ を 選び なさい 山口 県 島根 県 鳥取 県 大山 寂地山 恐羅漢山 
__label__社会 , スカイネットアジア 航空 が 用い て いる ブランド 名 は 「 ？ エア 」 ソラシド 
__label__社会 , ナイル 川 の 河口 が ある の は ブラジル で ある 
__label__社会 , カリブ海 に 浮かぶ イスパニョーラ 島 の 西 半分 を 占める 国 は ドミニカ共和国 で ある 
__label__社会 , 次 の 石川 県 の 都市 を 人口 が 多い 順 に 選び なさい 加賀 市 か ほ く 市 小松 市 
__label__社会 , 「 アメリカ の 製造 業 で 史上 最大 の 経営 破綻 」 と なっ た 、 2009 年 6 月 に 倒産 し た アメリカ の 企業 は ゼネラル ・ エレクトリック で ある 
__label__社会 , アフリカ 大陸 の 国 スーダン 共和 国 の 首都 は ？ カタカナ で 答え なさい ハルツーム 
__label__社会 , [ 画像 問 ] 次 の うち 、 正しい 信号 機 は どっち ？ （ A . 上 が 青 、 下 が 赤 | B . 上 が 赤 、 下 が 青 ） 
__label__社会 , [ 画像 問 ] 次 の うち 礼文島 は どっち ？ （ A . 比較的 右 下 で 北海道 本島 に 近い | B . 比較的 左上 ） 
__label__社会 , 七福神 は 全員 インド の 神様 で ある 
__label__社会 , 海外 の 企業 が 、 日本 において 円建て で 発行 する 債券 の 通称 は 「 サムライ 債 」 です が 海外 の 企業 が 日本 において 外貨 建て で 発行 する 債券 の 通称 は 「 ○ ○ ○ ○ ○ 債 」 ？ ○ を 答え なさい ショーグン 
__label__社会 , 世界 遺産 に 登録 さ れ て いる アッシュール が 位置 する 国 は イラン で ある 
__label__社会 , 1994 年 以降 は 実施 さ れ て い ない 米 韓 共同 軍事 演習 の 通称 です チームスピリット 
__label__社会 , 福島 県 で 人口 が もっとも 多い 都市 は 郡山 市 で ある 
__label__社会 , 2009 年 に ノーベル 平和 賞 を 受賞 し た の は 、 アメリカ の バラク・オバマ 大統領 で ある 
__label__社会 , 北海道 の 道 の 花 は ラベンダー で ある 
__label__社会 , 国際 決済 銀行 の 定める 基準 で 国際 業務 を 行う 銀行 が 義務付け られ て いる 自己 資本 比率 は ○% 以上 ？ ○ を 答え なさい 8 
__label__社会 , アメリカ ・ ミシシッピ 州 の 州都 は ジョンソン で ある 
__label__社会 , かつて 日本 で は 「 象牙 海岸 」 と も 呼ば れ て い た 西アフリカ の 国 は ○ ○ ○ ジボワール ？ ○ を 答え なさい コート 
__label__社会 , 地方自治体 も 破産 する こと が ある 
__label__社会 , ゾロ アスター 教 における 最高 神 は アーリマン で ある 
__label__社会 , 牧場 に ある 牧草 や トウモロコシ など の 飼料 を 貯蔵 する 施設 を 何 という ？ カタカナ 3 文字 で 答え なさい サイロ 
__label__社会 , アメリカ 軍 の 戦闘 機 の コードネーム で 、 F - 14 と いえ ば ？ タイガーシャーク トムキャット イーグル ホー ネット 
__label__社会 , 次 の アメリカ合衆国 の 大統領 と その 夫人 の 名前 の 正しい 組み合わせ を 選び なさい バラク・オバマ ジョージ ・ W ・ ブッシュ ビル ・ クリントン ミシェル ローラ ヒラリー 
__label__社会 , オーロラ の 鑑賞 ツアー が 有名 な カナダ 、 ノースウエスト 準 州 の 州都 と いえ ば ○ ○ ○ ○ ナイフ ？ ○ を 答え なさい イエロー 
__label__社会 , 2008 年 に 福田 康夫 改造 内閣 の 農林 水産 大臣 就任 する と 直後 に 「 消費 者 が やかましい 」 と 失言 し 、 批判 を 浴び た 政治 家 は ？ 太田 誠一 
__label__社会 , 次 の うち ヨーロッパ で 開発 さ れ た 戦闘 機 を 全て 選び なさい ハリアー スター ファイター ラプター 
__label__社会 , 近く に 日本人 ロ 重心 の 地 が ある こと から 「 日本 ま ん 真ん中 の 駅 」 という 看板 が ホーム に ある 長良川 鉄道 越美南線 の 駅 は ○ ○ 駅 ？ ( 2 文字 ) 八 坂 
__label__社会 , 京都 の 恒例 行事 「 五山 の 送り火 」 が 行わ れる の は 毎年 8 月 ○ ○ 日 ？ ○ を 答え なさい 16 
__label__社会 , 元 女優 の 高見 エミリー を 妻 に 持つ 政治 家 は 鳩山 邦夫 で ある 
__label__社会 , 次 の うち 、 「 ○ ○ 」 の 中 に 「 東京 」 と 入れる と 2012 年 に 開業 し た 商業 施設 と なる もの を 全て 選び なさい ダイバー シティ ○ ○ ○ ○ プラザ 表参道 原宿 ○ ○ ソラマチ 
__label__社会 , [ 画像 問 ] 津軽 半島 は どっち ？ （ A . 左側 、 真っ直ぐ 伸び て いる 半島 | B . 右側 、 かぎ 爪 の よう な 半島 ） 
__label__社会 , 次 の 天皇 御 一家 と 、 その ご 称号 の 正しい 組み合わせ を 選び なさい 皇太子 徳 仁 親王 愛子 親王 殿下 今上 天皇 継 宮 造 宮 敬 宮 
__label__社会 , 1872 年 に 当時 の アメリカ 大統領 によって 指定 さ れ た 、 世界 最初 の 国立 公園 は 「 ○ ○ ○ ○ ストーン 国立 公園 ？ 」 ○ を 答え なさい イエロー 
__label__社会 , 2011 年 11 月 、 経済 危機 に対する 責任 から 首相 を 辞任 し た パパンドレウ は どこ の 国 の 政治 家 ？ スペイン ギリシャ スロベニア イタリア 
__label__社会 , 日本 で 最も 面積 が 大きい 湖 琵琶湖 が ある の は 滋賀 県 です が 日本 で 最も 深い 湖 田沢湖 が ある の は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい あき た 
__label__社会 , 1999 年 に 当時 の 小渕 内閣 が 地方自治体 に 発行 さ せ た 地域 振興 券 は 、 全て の 国民 に 無条件 に 交付 さ れ た 
__label__社会 , 日本 で 義務 教育 が 9 年 に なっ た の は 戦後 の こと で ある 
__label__社会 , オーストラリア と オーストリア の 語源 は 同じ で ある 
__label__社会 , 次 の 政令 指定 都市 を 施行 さ れ た の が 早い 順 に 選び なさい 千葉 市 広島 市 横浜 市 
__label__社会 , 農業 の 後継 者 不足 を 表し た 「 三 ちゃん 農業 」 という 言葉 の 「 三 ちゃん 」 と は 、 じいちゃん 、 ばあちゃん と 母ちゃん で ある 
__label__社会 , 2007 年 に 登録 さ れ た 世界 遺産 「 石見 銀山 遺跡 と その 文化 的 景観 」 が 位置 する 県 は 島根 県 で ある 
__label__社会 , 数学 の ノーベル 賞 と いわ れる 賞 は ○ ○ ○ ○ ○ 賞 ？ ○ を 答え なさい フィールズ 
__label__社会 , 次 の 文字 列 を 順に 選ん で 東南アジア の 国 ・ ブルネイ の 首都 の 名前 に し なさい ダルス リブ バン ガ ワン 
__label__社会 , 次 の 文字 列 を 順に 選ん で 横浜 市 緑 区 に 本部 を おく 私立 大学 の 名前 に し なさい 女学院 大学 東洋 英和 
__label__社会 , 富士大学 の 本部 が ある 都道府県 は 富士山 の ある 山梨 県 で ある 
__label__社会 , [ 画像 問 ] 南米 と フェゴ 島 の 間 に ある この 海峡 は ○ ○ ○ ○ 海峡 ？ （ 太平洋 と 大西洋 を 結ぶ ） マゼラン 
__label__社会 , 漢字 で は 「 独逸 」 と 書く ヨーロッパ の 国 は ドイツ です が 漢字 で は 「 西 班 牙 」 と 書く ヨーロッパ の 国 は どこ ？ スペイン ドイツ イタリア フランス 
__label__社会 , 電話 を 発明 し た グラハム ・ ベル は 日本 で は 「 耳 の 日 」 と さ れる 3 月 3 日 生まれ で ある 
__label__社会 , ナイル 川 の 河口 が ある の は エジプト で ある 
__label__社会 , 北海道 の 本島 で 最も 北 に 位置 する 岬 は ？ ( 3 文字 ) 宗谷岬 
__label__社会 , かつて これ に 飛びつく CM が 話題 を 呼ん だ 、 栃木 県 に ある 日光 江戸 村 の マスコット キャラ は ○ ○ ○ まげ ？ ○ を 答え なさい ニャン 
